Sample,Age,City,Date,Event,Sample,Sport,State
CPR_SH.MC014,Adult,Philadelphia,2/18/2014,76ers,MC014,Basketball,PA
CPR_SH.MC016,Adult,Philadelphia,2/18/2014,76ers,MC016,Basketball,PA
CPR_SH.MC018,Adult,Philadelphia,2/18/2014,76ers,MC018,Basketball,PA
CPR_SH.MC019,Adult,Philadelphia,2/18/2014,76ers,MC019,Basketball,PA
CPR_SH.MC022,Adult,Philadelphia,2/18/2014,76ers,MC022,Basketball,PA
CPR_SH.MC024,Adult,Philadelphia,2/18/2014,76ers,MC024,Basketball,PA
CPR_SH.MC025,Adult,Philadelphia,2/18/2014,76ers,MC025,Basketball,PA
CPR_SH.MC026,Adult,Philadelphia,2/18/2014,76ers,MC026,Basketball,PA
CPR_SH.MC028,Adult,Philadelphia,2/18/2014,76ers,MC028,Basketball,PA
CPR_SH.MC029,Adult,Philadelphia,2/18/2014,76ers,MC029,Basketball,PA
CPR_SH.MC030,Adult,Philadelphia,2/18/2014,76ers,MC030,Basketball,PA
CPR_SH.MC031,Adult,Philadelphia,2/18/2014,76ers,MC031,Basketball,PA
CPR_SH.MC032,Adult,Philadelphia,2/18/2014,76ers,MC032,Basketball,PA
CPR_SH.MC033,Adult,Philadelphia,2/18/2014,76ers,MC033,Basketball,PA
CPR_SH.MC034,Adult,Philadelphia,2/18/2014,76ers,MC034,Basketball,PA
CPR_SH.MC035,Adult,Philadelphia,2/18/2014,76ers,MC035,Basketball,PA
CPR_SH.MC036,Adult,Philadelphia,2/18/2014,76ers,MC036,Basketball,PA
CPR_SH.MC037,Adult,Philadelphia,2/18/2014,76ers,MC037,Basketball,PA
CPR_SH.MC039,Adult,Philadelphia,2/18/2014,76ers,MC039,Basketball,PA
CPR_SH.MC041,Adult,Philadelphia,2/18/2014,76ers,MC041,Basketball,PA
CPR_SH.MC042,Adult,Philadelphia,2/18/2014,76ers,MC042,Basketball,PA
CPR_SH.MC043,Adult,Philadelphia,2/18/2014,76ers,MC043,Basketball,PA
CPR_SH.MC047,Adult,Philadelphia,2/18/2014,76ers,MC047,Basketball,PA
CPR_SH.MC093,Adult,Philadelphia,2/18/2014,76ers,MC093,Basketball,PA
CPR_SH.MC095,Adult,Philadelphia,2/18/2014,76ers,MC095,Basketball,PA
CPR_SH.MC097,Adult,Philadelphia,2/18/2014,76ers,MC097,Basketball,PA
CPR_SH.MC098,Adult,Philadelphia,2/18/2014,76ers,MC098,Basketball,PA
CPR_SH.MC099,Adult,Philadelphia,2/18/2014,76ers,MC099,Basketball,PA
CPR_SH.MC100,Adult,Philadelphia,2/18/2014,76ers,MC100,Basketball,PA
CPR_SH.ME003,Adult,Philadelphia,2/18/2014,76ers,ME003,Basketball,PA
CPR_SH.ME004,Adult,Philadelphia,2/18/2014,76ers,ME004,Basketball,PA
CPR_SH.ME006,Adult,Philadelphia,2/18/2014,76ers,ME006,Basketball,PA
CPR_SH.ME008,Adult,Philadelphia,2/18/2014,76ers,ME008,Basketball,PA
CPR_SH.ME009,Adult,Philadelphia,2/18/2014,76ers,ME009,Basketball,PA
CPR_CP.AB069,Mixed,San Francisco,11/2/2013,BASF,AB069,,CA
CPR_CP.AB081,Mixed,San Francisco,11/2/2013,BASF,AB081,,CA
CPR_CP.AB082,Mixed,San Francisco,11/2/2013,BASF,AB082,,CA
CPR_CP.AB083,Mixed,San Francisco,11/2/2013,BASF,AB083,,CA
CPR_CP.AB084,Mixed,San Francisco,11/2/2013,BASF,AB084,,CA
CPR_CP.AB085,Mixed,San Francisco,11/2/2013,BASF,AB085,,CA
CPR_CP.AB086,Mixed,San Francisco,11/2/2013,BASF,AB086,,CA
CPR_CP.AE041,Mixed,San Francisco,11/2/2013,BASF,AE041,,CA
CPR_CP.AE042,Mixed,San Francisco,11/2/2013,BASF,AE042,,CA
CPR_CP.AE044,Mixed,San Francisco,11/2/2013,BASF,AE044,,CA
CPR_CP.AE047,Mixed,San Francisco,11/2/2013,BASF,AE047,,CA
CPR_CP.AE048,Mixed,San Francisco,11/2/2013,BASF,AE048,,CA
CPR_CP.AE050,Mixed,San Francisco,11/2/2013,BASF,AE050,,CA
CPR_CP.AE051,Mixed,San Francisco,11/2/2013,BASF,AE051,,CA
CPR_CP.AE053,Mixed,San Francisco,11/2/2013,BASF,AE053,,CA
CPR_CP.AE054,Mixed,San Francisco,11/2/2013,BASF,AE054,,CA
CPR_CP.AE055,Mixed,San Francisco,11/2/2013,BASF,AE055,,CA
CPR_CP.AE056,Mixed,San Francisco,11/2/2013,BASF,AE056,,CA
CPR_CP.AE057,Mixed,San Francisco,11/2/2013,BASF,AE057,,CA
CPR_CP.AE058,Mixed,San Francisco,11/2/2013,BASF,AE058,,CA
CPR_CP.AE059,Mixed,San Francisco,11/2/2013,BASF,AE059,,CA
CPR_CP.AQ031,Mixed,San Francisco,11/2/2013,BASF,AQ031,,CA
CPR_CP.AQ032,Mixed,San Francisco,11/2/2013,BASF,AQ032,,CA
CPR_CP.AQ033,Mixed,San Francisco,11/2/2013,BASF,AQ033,,CA
CPR_CP.AQ034,Mixed,San Francisco,11/2/2013,BASF,AQ034,,CA
CPR_CP.AQ035,Mixed,San Francisco,11/2/2013,BASF,AQ035,,CA
CPR_CP.AQ036,Mixed,San Francisco,11/2/2013,BASF,AQ036,,CA
CPR_CP.AQ037,Mixed,San Francisco,11/2/2013,BASF,AQ037,,CA
CPR_CP.AQ038,Mixed,San Francisco,11/2/2013,BASF,AQ038,,CA
CPR_CP.AQ039,Mixed,San Francisco,11/2/2013,BASF,AQ039,,CA
CPR_CP.AQ040,Mixed,San Francisco,11/2/2013,BASF,AQ040,,CA
CPR_CP.FY011,Mixed,San Francisco,11/2/2013,BASF,FY011,,CA
CPR_CP.FY012,Mixed,San Francisco,11/2/2013,BASF,FY012,,CA
CPR_CP.FY014,Mixed,San Francisco,11/2/2013,BASF,FY014,,CA
CPR_CP.FY016,Mixed,San Francisco,11/2/2013,BASF,FY016,,CA
CPR_CP.FY017,Mixed,San Francisco,11/2/2013,BASF,FY017,,CA
CPR_CP.FY020,Mixed,San Francisco,11/2/2013,BASF,FY020,,CA
CPR_CP.LS081,Mixed,San Francisco,11/2/2013,BASF,LS081,,CA
CPR_CP.LS082,Mixed,San Francisco,11/2/2013,BASF,LS082,,CA
CPR_CP.LS083,Mixed,San Francisco,11/2/2013,BASF,LS083,,CA
CPR_CP.LS084,Mixed,San Francisco,11/2/2013,BASF,LS084,,CA
CPR_CP.LS085,Mixed,San Francisco,11/2/2013,BASF,LS085,,CA
CPR_CP.LS086,Mixed,San Francisco,11/2/2013,BASF,LS086,,CA
CPR_CP.LS087,Mixed,San Francisco,11/2/2013,BASF,LS087,,CA
CPR_CP.LS088,Mixed,San Francisco,11/2/2013,BASF,LS088,,CA
CPR_CP.LS089,Mixed,San Francisco,11/2/2013,BASF,LS089,,CA
CPR_CP.LS090,Mixed,San Francisco,11/2/2013,BASF,LS090,,CA
CPR_CP.LS091,Mixed,San Francisco,11/2/2013,BASF,LS091,,CA
CPR_CP.LS092,Mixed,San Francisco,11/2/2013,BASF,LS092,,CA
CPR_CP.LS093,Mixed,San Francisco,11/2/2013,BASF,LS093,,CA
CPR_CP.LS094,Mixed,San Francisco,11/2/2013,BASF,LS094,,CA
CPR_CP.LS095,Mixed,San Francisco,11/2/2013,BASF,LS095,,CA
CPR_CP.LS096,Mixed,San Francisco,11/2/2013,BASF,LS096,,CA
CPR_CP.LS097,Mixed,San Francisco,11/2/2013,BASF,LS097,,CA
CPR_CP.LS098,Mixed,San Francisco,11/2/2013,BASF,LS098,,CA
CPR_CP.LS099,Mixed,San Francisco,11/2/2013,BASF,LS099,,CA
CPR_CP.LS100,Mixed,San Francisco,11/2/2013,BASF,LS100,,CA
CPR_CP.LT001,Mixed,San Francisco,11/2/2013,BASF,LT001,,CA
CPR_CP.LT002,Mixed,San Francisco,11/2/2013,BASF,LT002,,CA
CPR_CP.LT003,Mixed,San Francisco,11/2/2013,BASF,LT003,,CA
CPR_CP.LT004,Mixed,San Francisco,11/2/2013,BASF,LT004,,CA
CPR_CP.LT005,Mixed,San Francisco,11/2/2013,BASF,LT005,,CA
CPR_CP.LT006,Mixed,San Francisco,11/2/2013,BASF,LT006,,CA
CPR_CP.LT007,Mixed,San Francisco,11/2/2013,BASF,LT007,,CA
CPR_CP.LT008,Mixed,San Francisco,11/2/2013,BASF,LT008,,CA
CPR_CP.LT010,Mixed,San Francisco,11/2/2013,BASF,LT010,,CA
CPR_CP.LT011,Mixed,San Francisco,11/2/2013,BASF,LT011,,CA
CPR_CP.LT012,Mixed,San Francisco,11/2/2013,BASF,LT012,,CA
CPR_CP.LT013,Mixed,San Francisco,11/2/2013,BASF,LT013,,CA
CPR_CP.LT015,Mixed,San Francisco,11/2/2013,BASF,LT015,,CA
CPR_CP.LT016,Mixed,San Francisco,11/2/2013,BASF,LT016,,CA
CPR_CP.LT017,Mixed,San Francisco,11/2/2013,BASF,LT017,,CA
CPR_CP.LT018,Mixed,San Francisco,11/2/2013,BASF,LT018,,CA
CPR_CP.LT019,Mixed,San Francisco,11/2/2013,BASF,LT019,,CA
CPR_SH.AB069,Mixed,San Francisco,11/2/2013,BASF,AB069,,CA
CPR_SH.AB081,Mixed,San Francisco,11/2/2013,BASF,AB081,,CA
CPR_SH.AB082,Mixed,San Francisco,11/2/2013,BASF,AB082,,CA
CPR_SH.AB083,Mixed,San Francisco,11/2/2013,BASF,AB083,,CA
CPR_SH.AB084,Mixed,San Francisco,11/2/2013,BASF,AB084,,CA
CPR_SH.AB085,Mixed,San Francisco,11/2/2013,BASF,AB085,,CA
CPR_SH.AB086,Mixed,San Francisco,11/2/2013,BASF,AB086,,CA
CPR_SH.AE041,Mixed,San Francisco,11/2/2013,BASF,AE041,,CA
CPR_SH.AE042,Mixed,San Francisco,11/2/2013,BASF,AE042,,CA
CPR_SH.AE043,Mixed,San Francisco,11/2/2013,BASF,AE043,,CA
CPR_SH.AE044,Mixed,San Francisco,11/2/2013,BASF,AE044,,CA
CPR_SH.AE047,Mixed,San Francisco,11/2/2013,BASF,AE047,,CA
CPR_SH.AE048,Mixed,San Francisco,11/2/2013,BASF,AE048,,CA
CPR_SH.AE050,Mixed,San Francisco,11/2/2013,BASF,AE050,,CA
CPR_SH.AE051,Mixed,San Francisco,11/2/2013,BASF,AE051,,CA
CPR_SH.AE053,Mixed,San Francisco,11/2/2013,BASF,AE053,,CA
CPR_SH.AE054,Mixed,San Francisco,11/2/2013,BASF,AE054,,CA
CPR_SH.AE055,Mixed,San Francisco,11/2/2013,BASF,AE055,,CA
CPR_SH.AE056,Mixed,San Francisco,11/2/2013,BASF,AE056,,CA
CPR_SH.AE057,Mixed,San Francisco,11/2/2013,BASF,AE057,,CA
CPR_SH.AE058,Mixed,San Francisco,11/2/2013,BASF,AE058,,CA
CPR_SH.AE059,Mixed,San Francisco,11/2/2013,BASF,AE059,,CA
CPR_SH.AQ031,Mixed,San Francisco,11/2/2013,BASF,AQ031,,CA
CPR_SH.AQ032,Mixed,San Francisco,11/2/2013,BASF,AQ032,,CA
CPR_SH.AQ034,Mixed,San Francisco,11/2/2013,BASF,AQ034,,CA
CPR_SH.AQ035,Mixed,San Francisco,11/2/2013,BASF,AQ035,,CA
CPR_SH.AQ036,Mixed,San Francisco,11/2/2013,BASF,AQ036,,CA
CPR_SH.AQ037,Mixed,San Francisco,11/2/2013,BASF,AQ037,,CA
CPR_SH.AQ038,Mixed,San Francisco,11/2/2013,BASF,AQ038,,CA
CPR_SH.AQ040,Mixed,San Francisco,11/2/2013,BASF,AQ040,,CA
CPR_SH.FY011,Mixed,San Francisco,11/2/2013,BASF,FY011,,CA
CPR_SH.FY012,Mixed,San Francisco,11/2/2013,BASF,FY012,,CA
CPR_SH.FY013,Mixed,San Francisco,11/2/2013,BASF,FY013,,CA
CPR_SH.FY014,Mixed,San Francisco,11/2/2013,BASF,FY014,,CA
CPR_SH.FY015,Mixed,San Francisco,11/2/2013,BASF,FY015,,CA
CPR_SH.FY016,Mixed,San Francisco,11/2/2013,BASF,FY016,,CA
CPR_SH.FY017,Mixed,San Francisco,11/2/2013,BASF,FY017,,CA
CPR_SH.FY020,Mixed,San Francisco,11/2/2013,BASF,FY020,,CA
CPR_SH.LS081,Mixed,San Francisco,11/2/2013,BASF,LS081,,CA
CPR_SH.LS082,Mixed,San Francisco,11/2/2013,BASF,LS082,,CA
CPR_SH.LS083,Mixed,San Francisco,11/2/2013,BASF,LS083,,CA
CPR_SH.LS084,Mixed,San Francisco,11/2/2013,BASF,LS084,,CA
CPR_SH.LS085,Mixed,San Francisco,11/2/2013,BASF,LS085,,CA
CPR_SH.LS086,Mixed,San Francisco,11/2/2013,BASF,LS086,,CA
CPR_SH.LS087,Mixed,San Francisco,11/2/2013,BASF,LS087,,CA
CPR_SH.LS089,Mixed,San Francisco,11/2/2013,BASF,LS089,,CA
CPR_SH.LS091,Mixed,San Francisco,11/2/2013,BASF,LS091,,CA
CPR_SH.LS092,Mixed,San Francisco,11/2/2013,BASF,LS092,,CA
CPR_SH.LS093,Mixed,San Francisco,11/2/2013,BASF,LS093,,CA
CPR_SH.LS094,Mixed,San Francisco,11/2/2013,BASF,LS094,,CA
CPR_SH.LS095,Mixed,San Francisco,11/2/2013,BASF,LS095,,CA
CPR_SH.LS096,Mixed,San Francisco,11/2/2013,BASF,LS096,,CA
CPR_SH.LS097,Mixed,San Francisco,11/2/2013,BASF,LS097,,CA
CPR_SH.LS098,Mixed,San Francisco,11/2/2013,BASF,LS098,,CA
CPR_SH.LS099,Mixed,San Francisco,11/2/2013,BASF,LS099,,CA
CPR_SH.LS100,Mixed,San Francisco,11/2/2013,BASF,LS100,,CA
CPR_SH.LT001,Mixed,San Francisco,11/2/2013,BASF,LT001,,CA
CPR_SH.LT002,Mixed,San Francisco,11/2/2013,BASF,LT002,,CA
CPR_SH.LT003,Mixed,San Francisco,11/2/2013,BASF,LT003,,CA
CPR_SH.LT004,Mixed,San Francisco,11/2/2013,BASF,LT004,,CA
CPR_SH.LT005,Mixed,San Francisco,11/2/2013,BASF,LT005,,CA
CPR_SH.LT006,Mixed,San Francisco,11/2/2013,BASF,LT006,,CA
CPR_SH.LT007,Mixed,San Francisco,11/2/2013,BASF,LT007,,CA
CPR_SH.LT008,Mixed,San Francisco,11/2/2013,BASF,LT008,,CA
CPR_SH.LT009,Mixed,San Francisco,11/2/2013,BASF,LT009,,CA
CPR_SH.LT010,Mixed,San Francisco,11/2/2013,BASF,LT010,,CA
CPR_SH.LT011,Mixed,San Francisco,11/2/2013,BASF,LT011,,CA
CPR_SH.LT012,Mixed,San Francisco,11/2/2013,BASF,LT012,,CA
CPR_SH.LT013,Mixed,San Francisco,11/2/2013,BASF,LT013,,CA
CPR_SH.LT015,Mixed,San Francisco,11/2/2013,BASF,LT015,,CA
CPR_SH.LT016,Mixed,San Francisco,11/2/2013,BASF,LT016,,CA
CPR_SH.LT017,Mixed,San Francisco,11/2/2013,BASF,LT017,,CA
CPR_SH.LT018,Mixed,San Francisco,11/2/2013,BASF,LT018,,CA
CPR_CP.FV090,Adult,Fort Lauderdale,8/14/2013,Broward,FV090,,FL
CPR_CP.FV091,Adult,Fort Lauderdale,8/14/2013,Broward,FV091,,FL
CPR_CP.FV093,Adult,Fort Lauderdale,8/14/2013,Broward,FV093,,FL
CPR_CP.FV094,Adult,Fort Lauderdale,8/14/2013,Broward,FV094,,FL
CPR_CP.FV095,Adult,Fort Lauderdale,8/14/2013,Broward,FV095,,FL
CPR_CP.FV096,Adult,Fort Lauderdale,8/14/2013,Broward,FV096,,FL
CPR_CP.FV098,Adult,Fort Lauderdale,8/14/2013,Broward,FV098,,FL
CPR_CP.FV099,Adult,Fort Lauderdale,8/14/2013,Broward,FV099,,FL
CPR_SH.FV090,Adult,Fort Lauderdale,8/14/2013,Broward,FV090,,FL
CPR_SH.FV091,Adult,Fort Lauderdale,8/14/2013,Broward,FV091,,FL
CPR_SH.FV093,Adult,Fort Lauderdale,8/14/2013,Broward,FV093,,FL
CPR_SH.FV094,Adult,Fort Lauderdale,8/14/2013,Broward,FV094,,FL
CPR_SH.FV095,Adult,Fort Lauderdale,8/14/2013,Broward,FV095,,FL
CPR_SH.FV096,Adult,Fort Lauderdale,8/14/2013,Broward,FV096,,FL
CPR_SH.FV098,Adult,Fort Lauderdale,8/14/2013,Broward,FV098,,FL
CPR_SH.FV099,Adult,Fort Lauderdale,8/14/2013,Broward,FV099,,FL
CPR_CP.LA091,Kid,Salem,10/4/2013,ChapmanHill,LA091,,OR
CPR_CP.LA092,Kid,Salem,10/4/2013,ChapmanHill,LA092,,OR
CPR_CP.LA093,Kid,Salem,10/4/2013,ChapmanHill,LA093,,OR
CPR_CP.LA094,Kid,Salem,10/4/2013,ChapmanHill,LA094,,OR
CPR_CP.LA095,Kid,Salem,10/4/2013,ChapmanHill,LA095,,OR
CPR_CP.LA096,Kid,Salem,10/4/2013,ChapmanHill,LA096,,OR
CPR_CP.LA097,Kid,Salem,10/4/2013,ChapmanHill,LA097,,OR
CPR_CP.LA098,Kid,Salem,10/4/2013,ChapmanHill,LA098,,OR
CPR_CP.LA099,Kid,Salem,10/4/2013,ChapmanHill,LA099,,OR
CPR_CP.LA100,Kid,Salem,10/4/2013,ChapmanHill,LA100,,OR
CPR_SH.LA091,Kid,Salem,10/4/2013,ChapmanHill,LA091,,OR
CPR_SH.LA092,Kid,Salem,10/4/2013,ChapmanHill,LA092,,OR
CPR_SH.LA093,Kid,Salem,10/4/2013,ChapmanHill,LA093,,OR
CPR_SH.LA094,Kid,Salem,10/4/2013,ChapmanHill,LA094,,OR
CPR_SH.LA095,Kid,Salem,10/4/2013,ChapmanHill,LA095,,OR
CPR_SH.LA096,Kid,Salem,10/4/2013,ChapmanHill,LA096,,OR
CPR_SH.LA097,Kid,Salem,10/4/2013,ChapmanHill,LA097,,OR
CPR_SH.LA098,Kid,Salem,10/4/2013,ChapmanHill,LA098,,OR
CPR_SH.LA099,Kid,Salem,10/4/2013,ChapmanHill,LA099,,OR
CPR_SH.LA100,Kid,Salem,10/4/2013,ChapmanHill,LA100,,OR
CPR_CP.AG082,Adult,Philadelphia,5/23/2013,CHF,AG082,,PA
CPR_CP.AG083,Adult,Philadelphia,5/23/2013,CHF,AG083,,PA
CPR_CP.AG084,Adult,Philadelphia,5/23/2013,CHF,AG084,,PA
CPR_CP.AG088,Adult,Philadelphia,5/23/2013,CHF,AG088,,PA
CPR_CP.AG097,Adult,Philadelphia,5/23/2013,CHF,AG097,,PA
CPR_SH.AG082,Adult,Philadelphia,5/23/2013,CHF,AG082,,PA
CPR_SH.AG083,Adult,Philadelphia,5/23/2013,CHF,AG083,,PA
CPR_SH.AG084,Adult,Philadelphia,5/23/2013,CHF,AG084,,PA
CPR_SH.AG088,Adult,Philadelphia,5/23/2013,CHF,AG088,,PA
CPR_SH.AG097,Adult,Philadelphia,5/23/2013,CHF,AG097,,PA
CPR_CP.AQ061,Kid,Fountain,10/10/2013,ColeMiddle,AQ061,,CO
CPR_CP.AQ062,Kid,Fountain,10/10/2013,ColeMiddle,AQ062,,CO
CPR_CP.AQ063,Kid,Fountain,10/10/2013,ColeMiddle,AQ063,,CO
CPR_CP.AQ064,Kid,Fountain,10/10/2013,ColeMiddle,AQ064,,CO
CPR_CP.AQ065,Kid,Fountain,10/10/2013,ColeMiddle,AQ065,,CO
CPR_CP.AQ066,Kid,Fountain,10/10/2013,ColeMiddle,AQ066,,CO
CPR_CP.AQ067,Kid,Fountain,10/10/2013,ColeMiddle,AQ067,,CO
CPR_CP.AQ068,Kid,Fountain,10/10/2013,ColeMiddle,AQ068,,CO
CPR_CP.AQ069,Kid,Fountain,10/10/2013,ColeMiddle,AQ069,,CO
CPR_CP.AQ070,Kid,Fountain,10/10/2013,ColeMiddle,AQ070,,CO
CPR_CP.AQ071,Kid,Fountain,10/10/2013,ColeMiddle,AQ071,,CO
CPR_CP.AQ072,Kid,Fountain,10/10/2013,ColeMiddle,AQ072,,CO
CPR_CP.AQ073,Kid,Fountain,10/10/2013,ColeMiddle,AQ073,,CO
CPR_CP.AQ074,Kid,Fountain,10/10/2013,ColeMiddle,AQ074,,CO
CPR_CP.AQ075,Kid,Fountain,10/10/2013,ColeMiddle,AQ075,,CO
CPR_CP.AQ077,Kid,Fountain,10/10/2013,ColeMiddle,AQ077,,CO
CPR_CP.AQ078,Kid,Fountain,10/10/2013,ColeMiddle,AQ078,,CO
CPR_CP.AQ079,Kid,Fountain,10/10/2013,ColeMiddle,AQ079,,CO
CPR_CP.AQ080,Kid,Fountain,10/10/2013,ColeMiddle,AQ080,,CO
CPR_SH.AQ061,Kid,Fountain,10/10/2013,ColeMiddle,AQ061,,CO
CPR_SH.AQ062,Kid,Fountain,10/10/2013,ColeMiddle,AQ062,,CO
CPR_SH.AQ063,Kid,Fountain,10/10/2013,ColeMiddle,AQ063,,CO
CPR_SH.AQ064,Kid,Fountain,10/10/2013,ColeMiddle,AQ064,,CO
CPR_SH.AQ065,Kid,Fountain,10/10/2013,ColeMiddle,AQ065,,CO
CPR_SH.AQ066,Kid,Fountain,10/10/2013,ColeMiddle,AQ066,,CO
CPR_SH.AQ067,Kid,Fountain,10/10/2013,ColeMiddle,AQ067,,CO
CPR_SH.AQ069,Kid,Fountain,10/10/2013,ColeMiddle,AQ069,,CO
CPR_SH.AQ070,Kid,Fountain,10/10/2013,ColeMiddle,AQ070,,CO
CPR_SH.AQ071,Kid,Fountain,10/10/2013,ColeMiddle,AQ071,,CO
CPR_SH.AQ072,Kid,Fountain,10/10/2013,ColeMiddle,AQ072,,CO
CPR_SH.AQ073,Kid,Fountain,10/10/2013,ColeMiddle,AQ073,,CO
CPR_SH.AQ074,Kid,Fountain,10/10/2013,ColeMiddle,AQ074,,CO
CPR_SH.AQ075,Kid,Fountain,10/10/2013,ColeMiddle,AQ075,,CO
CPR_SH.AQ077,Kid,Fountain,10/10/2013,ColeMiddle,AQ077,,CO
CPR_SH.AQ078,Kid,Fountain,10/10/2013,ColeMiddle,AQ078,,CO
CPR_SH.AQ079,Kid,Fountain,10/10/2013,ColeMiddle,AQ079,,CO
CPR_SH.AQ080,Kid,Fountain,10/10/2013,ColeMiddle,AQ080,,CO
CPR_CP.FX001,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX001,,PA
CPR_CP.FX002,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX002,,PA
CPR_CP.FX003,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX003,,PA
CPR_CP.FX004,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX004,,PA
CPR_CP.FX005,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX005,,PA
CPR_CP.FX006,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX006,,PA
CPR_CP.FX007,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX007,,PA
CPR_CP.FX008,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX008,,PA
CPR_CP.FX009,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX009,,PA
CPR_CP.FX010,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX010,,PA
CPR_CP.FX011,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX011,,PA
CPR_CP.FX012,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX012,,PA
CPR_CP.FX013,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX013,,PA
CPR_CP.FX014,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX014,,PA
CPR_CP.FX015,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX015,,PA
CPR_CP.FX016,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX016,,PA
CPR_CP.FX017,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX017,,PA
CPR_CP.FX018,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX018,,PA
CPR_CP.FX019,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX019,,PA
CPR_CP.FX020,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX020,,PA
CPR_SH.FX002,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX002,,PA
